"OBJECT_ID","OWNER","REPOS","HEALTH_SCORE","HEALTH_SCORE_BY_AVERAGING","FORK_RATIO","STAR_RATIO","COMMITS_PER_DAY_RATIO","COMMITS_PER_DAY_PER_PERSON_RATIO","PR_OPEN_TIME_RATIO","PR_MERGE_TIME_RATIO","ISS_OPEN_TIME_RATIO","ISS_CLOSE_TIME_RATIO"
9185792,"apache","incubator-echarts",0,0.1214,0.360459881566645,0.114944308969881,0.043774945739771,0.223255890855249,0.20834849182202,0.008374024032346,0.011499096901927,0.001875664822061
557980,"socketio","socket.io",0,0.1186,0.295217647262527,0.15393132538061,0.001416248225225,0.046434879785659,0.814181721518835,0.01229088033012,0.189367612480323,0.012789283154949
38558578,"jiahaog","nativefier",0,0.1155,0.039339266544309,0.065840637975351,0.005664992900899,0.0295355319749,0.105827228853617,0.326441015689113,0.130758725343992,0.030294355552474
15062869,"facebook","jest",0,0.1152,0.122242615230114,0.086037698543465,0.107763618108463,0.098462948600437,0.217327989355529,0.249442619755425,0.012668931834292,0.003033343054163
1580851,"dimsemenov","PhotoSwipe",0,0.1149,0.097136129099283,0.061566598563237,0.000386249535568,0.019870138546147,0.429958930618845,0.279051847139522,0.365991356049221,0.02172922247894
19872456,"ReactTraining","react-router",0,0.1012,0.259860788863109,0.120783628814341,0.030899962470555,0.114961573715011,0.258208345109824,0.021401205874455,0.006753565170097,0.002894685651187
790359,"sequelize","sequelize",0,0.1005,0.103819648855491,0.062512357477098,0.045319943207189,0.183282803356131,0.421648725429023,0.228600735284077,0.019282334231491,0.006973905421668
42920477,"sentsin","layui",0,0.0988,0.186515219725041,0.061085480788242,0.004634994276853,0.052645184375661,0.183548447363357,0.137252224500741,0.156993659748322,0.010165312687799
3721224,"nolimits4web","swiper",0,0.0976,0.253281158015029,0.066331641732024,0.012488734605335,0.037544948177396,0.289682231854943,0.062220958461082,0.077177579783165,0.008583951797407
14370955,"sahat","hackathon-starter",0,0.0964,0.191120961318697,0.088492717326831,0.015707480656964,0.068180215751252,0.27404248961628,0.010596583614534,0.070516176105417,0.095255283503749
39176269,"vuejs","vuex",0,0.0934,0.231429857672196,0.068364858630462,0.010171237373179,0.025331618839456,0.053672882304639,0.044871285124594,0.074667115226192,0.028798267004628
36040894,"gatsbyjs","gatsby",0,0.0924,0.182948367212661,0.117807948329269,0.604223037380602,0.220122682084185,0.107173310535665,0.068437752936304,0.003865467992314,0.000427864596929
3214406,"meteor","meteor",0,0.0889,0.174325587838072,0.135526922823436,0.073516162218684,0.622646830712825,0.933563363645609,0.030897621157075,0.062859210891319,0.014732447080344
29891188,"standard","standard",0,0.0886,0.056169269660976,0.070440914782838,0.006179992681571,0.039413382218149,0.116136946543937,0.034738705335616,0.139733805238826,0.193073115250896
1801829,"emberjs","ember.js",0,0.0881,0.144578730477543,0.069399591379424,0.1390498283056,0.323168582105337,0.417243920952152,0.132647260971763,0.01293353074011,0.005908621896356
12972263,"alvarotrigo","fullPage.js",0,0.0872,0.222495411573224,0.088215909839847,0.019569975731459,0.048755552421914,0.390652062292176,0.01810712678282,0.025119164326453,0.019907204088472
9852918,"TryGhost","Ghost",0,0.087,0.225785226997264,0.099479338298293,0.147804818015933,0.220792498061059,0.212790628177684,0.014618396346017,0.015820105984992,0.008205486350642
24841635,"date-fns","date-fns",0,0.0859,0.025625930671469,0.059978250840309,0.025106217515566,0.033878587040824,0.056903933913881,0.165311470265601,0.055934295402683,0.09280388334822
1283503,"request","request",0,0.0851,0.092876683866053,0.075238911223885,0.00450624447228,0.045512232954946,0.408675468419859,0.167217821816641,0.170399013845458,0.005140321357154
18049133,"kenwheeler","slick",0,0.0844,0.167191882813312,0.079071376787715,0,0.018979898469999,0.254269249673912,0.08896450036052,0.13795546288031,0.002488253489779
9309093,"Semantic-Org","Semantic-UI",0,0.0838,0.167434290265609,0.150837013115402,0.010428737357245,0.208559543114997,0.18948517641187,0.015833695459804,0.143015165046738,0.001025097708709
48626335,"vuejs","vue-cli",0,0.0836,0.12355854139973,0.07041455216503,0.131968591865971,0.057010918000423,0.129042995037124,0.136298780979217,0.007784107005508,0.004193961711869
